,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
60,61,,Afghanistan,2020-03-22,40.0,1.0
61,62,,Afghanistan,2020-03-23,40.0,1.0
62,63,,Afghanistan,2020-03-24,74.0,1.0
63,64,,Afghanistan,2020-03-25,84.0,2.0
64,65,,Afghanistan,2020-03-26,94.0,4.0
65,66,,Afghanistan,2020-03-27,110.0,4.0
66,67,,Afghanistan,2020-03-28,110.0,4.0
67,68,,Afghanistan,2020-03-29,120.0,4.0
68,69,,Afghanistan,2020-03-30,170.0,4.0
69,70,,Afghanistan,2020-03-31,174.0,4.0
70,71,,Afghanistan,2020-04-01,237.0,4.0
71,72,,Afghanistan,2020-04-02,273.0,6.0
72,73,,Afghanistan,2020-04-03,281.0,6.0
73,74,,Afghanistan,2020-04-04,299.0,7.0
74,75,,Afghanistan,2020-04-05,349.0,7.0
75,76,,Afghanistan,2020-04-06,367.0,11.0
76,77,,Afghanistan,2020-04-07,423.0,14.0
77,78,,Afghanistan,2020-04-08,444.0,14.0
78,79,,Afghanistan,2020-04-09,484.0,15.0
79,80,,Afghanistan,2020-04-10,521.0,15.0
80,81,,Afghanistan,2020-04-11,555.0,18.0
81,82,,Afghanistan,2020-04-12,607.0,18.0
82,83,,Afghanistan,2020-04-13,665.0,21.0
83,84,,Afghanistan,2020-04-14,714.0,23.0
84,85,,Afghanistan,2020-04-15,784.0,25.0
85,86,,Afghanistan,2020-04-16,840.0,30.0
86,87,,Afghanistan,2020-04-17,906.0,30.0
87,88,,Afghanistan,2020-04-18,933.0,30.0
88,89,,Afghanistan,2020-04-19,996.0,33.0
89,90,,Afghanistan,2020-04-20,1026.0,36.0
90,91,,Afghanistan,2020-04-21,1092.0,36.0
91,92,,Afghanistan,2020-04-22,1176.0,40.0
92,93,,Afghanistan,2020-04-23,1279.0,42.0
93,94,,Afghanistan,2020-04-24,1351.0,43.0
94,95,,Afghanistan,2020-04-25,1463.0,47.0
95,96,,Afghanistan,2020-04-26,1531.0,50.0
96,97,,Afghanistan,2020-04-27,1703.0,57.0
97,98,,Afghanistan,2020-04-28,1828.0,58.0
98,99,,Afghanistan,2020-04-29,1939.0,60.0
99,100,,Afghanistan,2020-04-30,2171.0,64.0
100,101,,Afghanistan,2020-05-01,2335.0,68.0
101,102,,Afghanistan,2020-05-02,2469.0,72.0
102,103,,Afghanistan,2020-05-03,2704.0,85.0
103,104,,Afghanistan,2020-05-04,2894.0,90.0
104,105,,Afghanistan,2020-05-05,3224.0,95.0
105,106,,Afghanistan,2020-05-06,3392.0,104.0
106,107,,Afghanistan,2020-05-07,3563.0,106.0
107,108,,Afghanistan,2020-05-08,3778.0,109.0
108,109,,Afghanistan,2020-05-09,4033.0,115.0
109,110,,Afghanistan,2020-05-10,4402.0,120.0
110,111,,Afghanistan,2020-05-11,4687.0,122.0
111,112,,Afghanistan,2020-05-12,4963.0,127.0
112,115,,Albania,2020-01-22,0.0,0.0
113,116,,Albania,2020-01-23,0.0,0.0
114,117,,Albania,2020-01-24,0.0,0.0
115,118,,Albania,2020-01-25,0.0,0.0
116,119,,Albania,2020-01-26,0.0,0.0
117,120,,Albania,2020-01-27,0.0,0.0
118,121,,Albania,2020-01-28,0.0,0.0
119,122,,Albania,2020-01-29,0.0,0.0
120,123,,Albania,2020-01-30,0.0,0.0
121,124,,Albania,2020-01-31,0.0,0.0
122,125,,Albania,2020-02-01,0.0,0.0
123,126,,Albania,2020-02-02,0.0,0.0
124,127,,Albania,2020-02-03,0.0,0.0
125,128,,Albania,2020-02-04,0.0,0.0
126,129,,Albania,2020-02-05,0.0,0.0
127,130,,Albania,2020-02-06,0.0,0.0
128,131,,Albania,2020-02-07,0.0,0.0
129,132,,Albania,2020-02-08,0.0,0.0
130,133,,Albania,2020-02-09,0.0,0.0
131,134,,Albania,2020-02-10,0.0,0.0
132,135,,Albania,2020-02-11,0.0,0.0
133,136,,Albania,2020-02-12,0.0,0.0
134,137,,Albania,2020-02-13,0.0,0.0
135,138,,Albania,2020-02-14,0.0,0.0
136,139,,Albania,2020-02-15,0.0,0.0
137,140,,Albania,2020-02-16,0.0,0.0
138,141,,Albania,2020-02-17,0.0,0.0
139,142,,Albania,2020-02-18,0.0,0.0
140,143,,Albania,2020-02-19,0.0,0.0
141,144,,Albania,2020-02-20,0.0,0.0
142,145,,Albania,2020-02-21,0.0,0.0
143,146,,Albania,2020-02-22,0.0,0.0
144,147,,Albania,2020-02-23,0.0,0.0
145,148,,Albania,2020-02-24,0.0,0.0
146,149,,Albania,2020-02-25,0.0,0.0
147,150,,Albania,2020-02-26,0.0,0.0
148,151,,Albania,2020-02-27,0.0,0.0
149,152,,Albania,2020-02-28,0.0,0.0
150,153,,Albania,2020-02-29,0.0,0.0
151,154,,Albania,2020-03-01,0.0,0.0
152,155,,Albania,2020-03-02,0.0,0.0
153,156,,Albania,2020-03-03,0.0,0.0
154,157,,Albania,2020-03-04,0.0,0.0
155,158,,Albania,2020-03-05,0.0,0.0
156,159,,Albania,2020-03-06,0.0,0.0
157,160,,Albania,2020-03-07,0.0,0.0
158,161,,Albania,2020-03-08,0.0,0.0
159,162,,Albania,2020-03-09,2.0,0.0
160,163,,Albania,2020-03-10,10.0,0.0
161,164,,Albania,2020-03-11,12.0,1.0
162,165,,Albania,2020-03-12,23.0,1.0
163,166,,Albania,2020-03-13,33.0,1.0
164,167,,Albania,2020-03-14,38.0,1.0
165,168,,Albania,2020-03-15,42.0,1.0
166,169,,Albania,2020-03-16,51.0,1.0
167,170,,Albania,2020-03-17,55.0,1.0
168,171,,Albania,2020-03-18,59.0,2.0
169,172,,Albania,2020-03-19,64.0,2.0
170,173,,Albania,2020-03-20,70.0,2.0
171,174,,Albania,2020-03-21,76.0,2.0
172,175,,Albania,2020-03-22,89.0,2.0
173,176,,Albania,2020-03-23,104.0,4.0
174,177,,Albania,2020-03-24,123.0,5.0
175,178,,Albania,2020-03-25,146.0,5.0
176,179,,Albania,2020-03-26,174.0,6.0
177,180,,Albania,2020-03-27,186.0,8.0
178,181,,Albania,2020-03-28,197.0,10.0
179,182,,Albania,2020-03-29,212.0,10.0
180,183,,Albania,2020-03-30,223.0,11.0
181,184,,Albania,2020-03-31,243.0,15.0
182,185,,Albania,2020-04-01,259.0,15.0
183,186,,Albania,2020-04-02,277.0,16.0
184,187,,Albania,2020-04-03,304.0,17.0
185,188,,Albania,2020-04-04,333.0,20.0
186,189,,Albania,2020-04-05,361.0,20.0
187,190,,Albania,2020-04-06,377.0,21.0
188,191,,Albania,2020-04-07,383.0,22.0
189,192,,Albania,2020-04-08,400.0,22.0
190,193,,Albania,2020-04-09,409.0,23.0
191,194,,Albania,2020-04-10,416.0,23.0
192,195,,Albania,2020-04-11,433.0,23.0
193,196,,Albania,2020-04-12,446.0,23.0
194,197,,Albania,2020-04-13,467.0,23.0
195,198,,Albania,2020-04-14,475.0,24.0
196,199,,Albania,2020-04-15,494.0,25.0
197,200,,Albania,2020-04-16,518.0,26.0
198,201,,Albania,2020-04-17,539.0,26.0
199,202,,Albania,2020-04-18,548.0,26.0
200,203,,Albania,2020-04-19,562.0,26.0
201,204,,Albania,2020-04-20,584.0,26.0
202,205,,Albania,2020-04-21,609.0,26.0
203,206,,Albania,2020-04-22,634.0,27.0
204,207,,Albania,2020-04-23,663.0,27.0
205,208,,Albania,2020-04-24,678.0,27.0
206,209,,Albania,2020-04-25,712.0,27.0
207,210,,Albania,2020-04-26,726.0,28.0
208,211,,Albania,2020-04-27,736.0,28.0
209,212,,Albania,2020-04-28,750.0,30.0
210,213,,Albania,2020-04-29,766.0,30.0
211,214,,Albania,2020-04-30,773.0,31.0
212,215,,Albania,2020-05-01,782.0,31.0
213,216,,Albania,2020-05-02,789.0,31.0
214,217,,Albania,2020-05-03,795.0,31.0
215,218,,Albania,2020-05-04,803.0,31.0
216,219,,Albania,2020-05-05,820.0,31.0
217,220,,Albania,2020-05-06,832.0,31.0
218,221,,Albania,2020-05-07,842.0,31.0
219,222,,Albania,2020-05-08,850.0,31.0
220,223,,Albania,2020-05-09,856.0,31.0
221,224,,Albania,2020-05-10,868.0,31.0
222,225,,Albania,2020-05-11,872.0,31.0
223,226,,Albania,2020-05-12,876.0,31.0
224,229,,Algeria,2020-01-22,0.0,0.0
225,230,,Algeria,2020-01-23,0.0,0.0
226,231,,Algeria,2020-01-24,0.0,0.0
227,232,,Algeria,2020-01-25,0.0,0.0
228,233,,Algeria,2020-01-26,0.0,0.0
229,234,,Algeria,2020-01-27,0.0,0.0
230,235,,Algeria,2020-01-28,0.0,0.0
231,236,,Algeria,2020-01-29,0.0,0.0
232,237,,Algeria,2020-01-30,0.0,0.0
233,238,,Algeria,2020-01-31,0.0,0.0
234,239,,Algeria,2020-02-01,0.0,0.0
235,240,,Algeria,2020-02-02,0.0,0.0
236,241,,Algeria,2020-02-03,0.0,0.0
237,242,,Algeria,2020-02-04,0.0,0.0
238,243,,Algeria,2020-02-05,0.0,0.0
239,244,,Algeria,2020-02-06,0.0,0.0
240,245,,Algeria,2020-02-07,0.0,0.0
241,246,,Algeria,2020-02-08,0.0,0.0
242,247,,Algeria,2020-02-09,0.0,0.0
243,248,,Algeria,2020-02-10,0.0,0.0
244,249,,Algeria,2020-02-11,0.0,0.0
245,250,,Algeria,2020-02-12,0.0,0.0
246,251,,Algeria,2020-02-13,0.0,0.0
247,252,,Algeria,2020-02-14,0.0,0.0
248,253,,Algeria,2020-02-15,0.0,0.0
249,254,,Algeria,2020-02-16,0.0,0.0
250,255,,Algeria,2020-02-17,0.0,0.0
251,256,,Algeria,2020-02-18,0.0,0.0
252,257,,Algeria,2020-02-19,0.0,0.0
253,258,,Algeria,2020-02-20,0.0,0.0
254,259,,Algeria,2020-02-21,0.0,0.0
255,260,,Algeria,2020-02-22,0.0,0.0
256,261,,Algeria,2020-02-23,0.0,0.0
257,262,,Algeria,2020-02-24,0.0,0.0
258,263,,Algeria,2020-02-25,1.0,0.0
259,264,,Algeria,2020-02-26,1.0,0.0
260,265,,Algeria,2020-02-27,1.0,0.0
261,266,,Algeria,2020-02-28,1.0,0.0
262,267,,Algeria,2020-02-29,1.0,0.0
263,268,,Algeria,2020-03-01,1.0,0.0
264,269,,Algeria,2020-03-02,3.0,0.0
265,270,,Algeria,2020-03-03,5.0,0.0
266,271,,Algeria,2020-03-04,12.0,0.0
267,272,,Algeria,2020-03-05,12.0,0.0
268,273,,Algeria,2020-03-06,17.0,0.0
269,274,,Algeria,2020-03-07,17.0,0.0
270,275,,Algeria,2020-03-08,19.0,0.0
271,276,,Algeria,2020-03-09,20.0,0.0
272,277,,Algeria,2020-03-10,20.0,0.0
273,278,,Algeria,2020-03-11,20.0,0.0
274,279,,Algeria,2020-03-12,24.0,1.0
275,280,,Algeria,2020-03-13,26.0,2.0
276,281,,Algeria,2020-03-14,37.0,3.0
277,282,,Algeria,2020-03-15,48.0,4.0
278,283,,Algeria,2020-03-16,54.0,4.0
279,284,,Algeria,2020-03-17,60.0,4.0
280,285,,Algeria,2020-03-18,74.0,7.0
281,286,,Algeria,2020-03-19,87.0,9.0
282,287,,Algeria,2020-03-20,90.0,11.0
283,288,,Algeria,2020-03-21,139.0,15.0
284,289,,Algeria,2020-03-22,201.0,17.0
285,290,,Algeria,2020-03-23,230.0,17.0
286,291,,Algeria,2020-03-24,264.0,19.0
287,292,,Algeria,2020-03-25,302.0,21.0
288,293,,Algeria,2020-03-26,367.0,25.0
289,294,,Algeria,2020-03-27,409.0,26.0
290,295,,Algeria,2020-03-28,454.0,29.0
291,296,,Algeria,2020-03-29,511.0,31.0
292,297,,Algeria,2020-03-30,584.0,35.0
293,298,,Algeria,2020-03-31,716.0,44.0
294,299,,Algeria,2020-04-01,847.0,58.0
295,300,,Algeria,2020-04-02,986.0,86.0
296,301,,Algeria,2020-04-03,1171.0,105.0
297,302,,Algeria,2020-04-04,1251.0,130.0
298,303,,Algeria,2020-04-05,1320.0,152.0
299,304,,Algeria,2020-04-06,1423.0,173.0
300,305,,Algeria,2020-04-07,1468.0,193.0
301,306,,Algeria,2020-04-08,1572.0,205.0
302,307,,Algeria,2020-04-09,1666.0,235.0
303,308,,Algeria,2020-04-10,1761.0,256.0
304,309,,Algeria,2020-04-11,1825.0,275.0
305,310,,Algeria,2020-04-12,1914.0,293.0
306,311,,Algeria,2020-04-13,1983.0,313.0
307,312,,Algeria,2020-04-14,2070.0,326.0
308,313,,Algeria,2020-04-15,2160.0,336.0
309,314,,Algeria,2020-04-16,2268.0,348.0
310,315,,Algeria,2020-04-17,2418.0,364.0
311,316,,Algeria,2020-04-18,2534.0,367.0
312,317,,Algeria,2020-04-19,2629.0,375.0
313,318,,Algeria,2020-04-20,2718.0,384.0
314,319,,Algeria,2020-04-21,2811.0,392.0
315,320,,Algeria,2020-04-22,2910.0,402.0
316,321,,Algeria,2020-04-23,3007.0,407.0
317,322,,Algeria,2020-04-24,3127.0,415.0
318,323,,Algeria,2020-04-25,3256.0,419.0
319,324,,Algeria,2020-04-26,3382.0,425.0
320,325,,Algeria,2020-04-27,3517.0,432.0
321,326,,Algeria,2020-04-28,3649.0,437.0
322,327,,Algeria,2020-04-29,3848.0,444.0
323,328,,Algeria,2020-04-30,4006.0,450.0
324,329,,Algeria,2020-05-01,4154.0,453.0
325,330,,Algeria,2020-05-02,4295.0,459.0
326,331,,Algeria,2020-05-03,4474.0,463.0
327,332,,Algeria,2020-05-04,4648.0,465.0
328,333,,Algeria,2020-05-05,4838.0,470.0
329,334,,Algeria,2020-05-06,4997.0,476.0
330,335,,Algeria,2020-05-07,5182.0,483.0
331,336,,Algeria,2020-05-08,5369.0,488.0
332,337,,Algeria,2020-05-09,5558.0,494.0
333,338,,Algeria,2020-05-10,5723.0,502.0
334,339,,Algeria,2020-05-11,5891.0,507.0
335,340,,Algeria,2020-05-12,6067.0,515.0
336,343,,Andorra,2020-01-22,0.0,0.0
337,344,,Andorra,2020-01-23,0.0,0.0
338,345,,Andorra,2020-01-24,0.0,0.0
339,346,,Andorra,2020-01-25,0.0,0.0
340,347,,Andorra,2020-01-26,0.0,0.0
341,348,,Andorra,2020-01-27,0.0,0.0
342,349,,Andorra,2020-01-28,0.0,0.0
343,350,,Andorra,2020-01-29,0.0,0.0
344,351,,Andorra,2020-01-30,0.0,0.0
345,352,,Andorra,2020-01-31,0.0,0.0
346,353,,Andorra,2020-02-01,0.0,0.0
347,354,,Andorra,2020-02-02,0.0,0.0
348,355,,Andorra,2020-02-03,0.0,0.0
349,356,,Andorra,2020-02-04,0.0,0.0
350,357,,Andorra,2020-02-05,0.0,0.0
351,358,,Andorra,2020-02-06,0.0,0.0
352,359,,Andorra,2020-02-07,0.0,0.0
353,360,,Andorra,2020-02-08,0.0,0.0
354,361,,Andorra,2020-02-09,0.0,0.0
355,362,,Andorra,2020-02-10,0.0,0.0
356,363,,Andorra,2020-02-11,0.0,0.0
357,364,,Andorra,2020-02-12,0.0,0.0
358,365,,Andorra,2020-02-13,0.0,0.0
359,366,,Andorra,2020-02-14,0.0,0.0
360,367,,Andorra,2020-02-15,0.0,0.0
361,368,,Andorra,2020-02-16,0.0,0.0
362,369,,Andorra,2020-02-17,0.0,0.0
363,370,,Andorra,2020-02-18,0.0,0.0
364,371,,Andorra,2020-02-19,0.0,0.0
365,372,,Andorra,2020-02-20,0.0,0.0
366,373,,Andorra,2020-02-21,0.0,0.0
367,374,,Andorra,2020-02-22,0.0,0.0
368,375,,Andorra,2020-02-23,0.0,0.0
369,376,,Andorra,2020-02-24,0.0,0.0
370,377,,Andorra,2020-02-25,0.0,0.0
371,378,,Andorra,2020-02-26,0.0,0.0
372,379,,Andorra,2020-02-27,0.0,0.0
373,380,,Andorra,2020-02-28,0.0,0.0
374,381,,Andorra,2020-02-29,0.0,0.0
375,382,,Andorra,2020-03-01,0.0,0.0
376,383,,Andorra,2020-03-02,1.0,0.0
377,384,,Andorra,2020-03-03,1.0,0.0
378,385,,Andorra,2020-03-04,1.0,0.0
379,386,,Andorra,2020-03-05,1.0,0.0
380,387,,Andorra,2020-03-06,1.0,0.0
381,388,,Andorra,2020-03-07,1.0,0.0
382,389,,Andorra,2020-03-08,1.0,0.0
383,390,,Andorra,2020-03-09,1.0,0.0
384,391,,Andorra,2020-03-10,1.0,0.0
385,392,,Andorra,2020-03-11,1.0,0.0
386,393,,Andorra,2020-03-12,1.0,0.0
387,394,,Andorra,2020-03-13,1.0,0.0
388,395,,Andorra,2020-03-14,1.0,0.0
389,396,,Andorra,2020-03-15,1.0,0.0
390,397,,Andorra,2020-03-16,2.0,0.0
391,398,,Andorra,2020-03-17,39.0,0.0
392,399,,Andorra,2020-03-18,39.0,0.0
393,400,,Andorra,2020-03-19,53.0,0.0
394,401,,Andorra,2020-03-20,75.0,0.0
395,402,,Andorra,2020-03-21,88.0,0.0
396,403,,Andorra,2020-03-22,113.0,1.0
397,404,,Andorra,2020-03-23,133.0,1.0
398,405,,Andorra,2020-03-24,164.0,1.0
399,406,,Andorra,2020-03-25,188.0,1.0
400,407,,Andorra,2020-03-26,224.0,3.0
401,408,,Andorra,2020-03-27,267.0,3.0
402,409,,Andorra,2020-03-28,308.0,3.0
403,410,,Andorra,2020-03-29,334.0,6.0
404,411,,Andorra,2020-03-30,370.0,8.0
405,412,,Andorra,2020-03-31,376.0,12.0
406,413,,Andorra,2020-04-01,390.0,14.0
407,414,,Andorra,2020-04-02,428.0,15.0
408,415,,Andorra,2020-04-03,439.0,16.0
409,416,,Andorra,2020-04-04,466.0,17.0
410,417,,Andorra,2020-04-05,501.0,18.0
411,418,,Andorra,2020-04-06,525.0,21.0
412,419,,Andorra,2020-04-07,545.0,22.0
413,420,,Andorra,2020-04-08,564.0,23.0
414,421,,Andorra,2020-04-09,583.0,25.0
415,422,,Andorra,2020-04-10,601.0,26.0
416,423,,Andorra,2020-04-11,601.0,26.0
417,424,,Andorra,2020-04-12,638.0,29.0
418,425,,Andorra,2020-04-13,646.0,29.0
419,426,,Andorra,2020-04-14,659.0,31.0
420,427,,Andorra,2020-04-15,673.0,33.0
421,428,,Andorra,2020-04-16,673.0,33.0
422,429,,Andorra,2020-04-17,696.0,35.0
423,430,,Andorra,2020-04-18,704.0,35.0
424,431,,Andorra,2020-04-19,713.0,36.0
425,432,,Andorra,2020-04-20,717.0,37.0
426,433,,Andorra,2020-04-21,717.0,37.0
427,434,,Andorra,2020-04-22,723.0,37.0
428,435,,Andorra,2020-04-23,723.0,37.0
429,436,,Andorra,2020-04-24,731.0,40.0
430,437,,Andorra,2020-04-25,738.0,40.0
431,438,,Andorra,2020-04-26,738.0,40.0
432,439,,Andorra,2020-04-27,743.0,40.0
433,440,,Andorra,2020-04-28,743.0,41.0
434,441,,Andorra,2020-04-29,743.0,42.0
435,442,,Andorra,2020-04-30,745.0,42.0
436,443,,Andorra,2020-05-01,745.0,43.0
437,444,,Andorra,2020-05-02,747.0,44.0
438,445,,Andorra,2020-05-03,748.0,45.0
439,446,,Andorra,2020-05-04,750.0,45.0
440,447,,Andorra,2020-05-05,751.0,46.0
441,448,,Andorra,2020-05-06,751.0,46.0
442,449,,Andorra,2020-05-07,752.0,47.0
443,450,,Andorra,2020-05-08,752.0,47.0
444,451,,Andorra,2020-05-09,754.0,48.0
445,452,,Andorra,2020-05-10,755.0,48.0
446,453,,Andorra,2020-05-11,755.0,48.0
447,454,,Andorra,2020-05-12,758.0,48.0
448,457,,Angola,2020-01-22,0.0,0.0
449,458,,Angola,2020-01-23,0.0,0.0
450,459,,Angola,2020-01-24,0.0,0.0
451,460,,Angola,2020-01-25,0.0,0.0
452,461,,Angola,2020-01-26,0.0,0.0
453,462,,Angola,2020-01-27,0.0,0.0
454,463,,Angola,2020-01-28,0.0,0.0
455,464,,Angola,2020-01-29,0.0,0.0
456,465,,Angola,2020-01-30,0.0,0.0
457,466,,Angola,2020-01-31,0.0,0.0
458,467,,Angola,2020-02-01,0.0,0.0
459,468,,Angola,2020-02-02,0.0,0.0
460,469,,Angola,2020-02-03,0.0,0.0
461,470,,Angola,2020-02-04,0.0,0.0
462,471,,Angola,2020-02-05,0.0,0.0
463,472,,Angola,2020-02-06,0.0,0.0
464,473,,Angola,2020-02-07,0.0,0.0
465,474,,Angola,2020-02-08,0.0,0.0
466,475,,Angola,2020-02-09,0.0,0.0
467,476,,Angola,2020-02-10,0.0,0.0
468,477,,Angola,2020-02-11,0.0,0.0
469,478,,Angola,2020-02-12,0.0,0.0
470,479,,Angola,2020-02-13,0.0,0.0
471,480,,Angola,2020-02-14,0.0,0.0
472,481,,Angola,2020-02-15,0.0,0.0
473,482,,Angola,2020-02-16,0.0,0.0
474,483,,Angola,2020-02-17,0.0,0.0
475,484,,Angola,2020-02-18,0.0,0.0
476,485,,Angola,2020-02-19,0.0,0.0
477,486,,Angola,2020-02-20,0.0,0.0
478,487,,Angola,2020-02-21,0.0,0.0
479,488,,Angola,2020-02-22,0.0,0.0
480,489,,Angola,2020-02-23,0.0,0.0
481,490,,Angola,2020-02-24,0.0,0.0
482,491,,Angola,2020-02-25,0.0,0.0
483,492,,Angola,2020-02-26,0.0,0.0
484,493,,Angola,2020-02-27,0.0,0.0
485,494,,Angola,2020-02-28,0.0,0.0
486,495,,Angola,2020-02-29,0.0,0.0
487,496,,Angola,2020-03-01,0.0,0.0
488,497,,Angola,2020-03-02,0.0,0.0
489,498,,Angola,2020-03-03,0.0,0.0
490,499,,Angola,2020-03-04,0.0,0.0
491,500,,Angola,2020-03-05,0.0,0.0
492,501,,Angola,2020-03-06,0.0,0.0
493,502,,Angola,2020-03-07,0.0,0.0
494,503,,Angola,2020-03-08,0.0,0.0
495,504,,Angola,2020-03-09,0.0,0.0
496,505,,Angola,2020-03-10,0.0,0.0
497,506,,Angola,2020-03-11,0.0,0.0
498,507,,Angola,2020-03-12,0.0,0.0
499,508,,Angola,2020-03-13,0.0,0.0
500,509,,Angola,2020-03-14,0.0,0.0
501,510,,Angola,2020-03-15,0.0,0.0
502,511,,Angola,2020-03-16,0.0,0.0
503,512,,Angola,2020-03-17,0.0,0.0
504,513,,Angola,2020-03-18,0.0,0.0
505,514,,Angola,2020-03-19,0.0,0.0
506,515,,Angola,2020-03-20,1.0,0.0
507,516,,Angola,2020-03-21,2.0,0.0
508,517,,Angola,2020-03-22,2.0,0.0
509,518,,Angola,2020-03-23,3.0,0.0
510,519,,Angola,2020-03-24,3.0,0.0
511,520,,Angola,2020-03-25,3.0,0.0
512,521,,Angola,2020-03-26,4.0,0.0
513,522,,Angola,2020-03-27,4.0,0.0
514,523,,Angola,2020-03-28,5.0,0.0
515,524,,Angola,2020-03-29,7.0,2.0
516,525,,Angola,2020-03-30,7.0,2.0
517,526,,Angola,2020-03-31,7.0,2.0
518,527,,Angola,2020-04-01,8.0,2.0
519,528,,Angola,2020-04-02,8.0,2.0
520,529,,Angola,2020-04-03,8.0,2.0
521,530,,Angola,2020-04-04,10.0,2.0
522,531,,Angola,2020-04-05,14.0,2.0
523,532,,Angola,2020-04-06,16.0,2.0
524,533,,Angola,2020-04-07,17.0,2.0
525,534,,Angola,2020-04-08,19.0,2.0
526,535,,Angola,2020-04-09,19.0,2.0
527,536,,Angola,2020-04-10,19.0,2.0
528,537,,Angola,2020-04-11,19.0,2.0
529,538,,Angola,2020-04-12,19.0,2.0
530,539,,Angola,2020-04-13,19.0,2.0
531,540,,Angola,2020-04-14,19.0,2.0
532,541,,Angola,2020-04-15,19.0,2.0
533,542,,Angola,2020-04-16,19.0,2.0
534,543,,Angola,2020-04-17,19.0,2.0
535,544,,Angola,2020-04-18,24.0,2.0
536,545,,Angola,2020-04-19,24.0,2.0
537,546,,Angola,2020-04-20,24.0,2.0
538,547,,Angola,2020-04-21,24.0,2.0
539,548,,Angola,2020-04-22,25.0,2.0
540,549,,Angola,2020-04-23,25.0,2.0
541,550,,Angola,2020-04-24,25.0,2.0
542,551,,Angola,2020-04-25,25.0,2.0
543,552,,Angola,2020-04-26,26.0,2.0
544,553,,Angola,2020-04-27,27.0,2.0
545,554,,Angola,2020-04-28,27.0,2.0
546,555,,Angola,2020-04-29,27.0,2.0
547,556,,Angola,2020-04-30,27.0,2.0
548,557,,Angola,2020-05-01,30.0,2.0
549,558,,Angola,2020-05-02,35.0,2.0
550,559,,Angola,2020-05-03,35.0,2.0
551,560,,Angola,2020-05-04,35.0,2.0
552,561,,Angola,2020-05-05,36.0,2.0
553,562,,Angola,2020-05-06,36.0,2.0
